State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,East Godavari,2023-03-26,2023,03,6.017800408,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-03-31,2023,03,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-04-03,2023,04,6.5741585973,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-04-11,2023,04,0.5568019729,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-04-14,2023,04,0.0912171632,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-04-15,2023,04,0.0408329321,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-04-20,2023,04,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-05-03,2023,05,6.9817768864,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-05-09,2023,05,0.00144435,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-05-10,2023,05,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-05-13,2023,05,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-05-16,2023,05,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-05-29,2023,05,6.8551357417,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-05-30,2023,05,1.3631089884,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-06-04,2023,06,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-06-08,2023,06,0.3632237416,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-06-10,2023,06,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-06-13,2023,06,0.019683981,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-06-15,2023,06,0.9622690198,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-06-20,2023,06,0.3812091931,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-06-21,2023,06,1.9763885425,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-06-24,2023,06,2.9402706534,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-06-25,2023,06,18.5200687319,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-06-26,2023,06,12.0187040174,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-07,2023,07,10.1531608193,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-08,2023,07,3.118136918,IMD GRID MODEL
